RowID,EntryID,Account,Folio,Date,EntryText,Place,Event,Notes
118,V1916,Vernon,50r,1643-01-10,75 p[ai]d S[i]r John meldrom to be given by way of reward to them that made the work[es] at Ockingham £20 - 0s - 0d,"Wokingham, Berkshire",,
119,V2091,Vernon,53v,1643-03-01,75 p[ai]d [^S[i]r John^] meldrom toward[es] the charg of the worke at ockingham £30 - -s - -d,"Wokingham, Berkshire",,
120,V0599,Vernon,21r,1642-09-06,91 p[ai]d Captaine william willoughby by way of imprest for the charge of securinge the Blockhouse at Gravesend and the ordinance at wolwich £100 - 0s - 0d,"Woolwich, Kent",,
121,V0728,Vernon,24v,1642-09-26,11 p[ai]d serjant major Gunter for soe much dew to himself officers & troope of harquebusiers to the first of [Octo]bre next wherof 200l was paid [th]e 5 [Septem]bre at northampton & 152.18. hear at worcester £352 - 18s - -d,Worcester,,
122,V0786,Vernon,26r,1642-10-01,more toward[es] the entertainm[en]t & charge of the traine of Artigl[ery] 600l and alsoe toward[es] the charge of the fortifications in and about worcester 300 £900 - 0s - 0d,Worcester,,
123,V0895,Vernon,28v,1642-10-10,more p[ai]d him uppon acc[oun]tt for charges of raisinge and bringinge horses to Wor[cester] £100 - 0s - 0d,Worcester,,
124,V0978,Vernon,30v,1642-10-15,100 p[ai]d Docter Richard Gardner to be distributed to sicke & maimed sold[ier]s in wo[rceste]r £30 - 0s - 0d,Worcester,,
125,V1037,Vernon,32r,1642-10-19,80 p[ai]d Lawrence Loe my lord g[enera]ll[es] surgeon toward[es] the payment of the cures of divers maimed sold[ier]s left in the Cittie £40 - 0s - 0d,Worcester,,
126,V1098,Vernon,33r,1642-10-28,92 p[ai]d S[i]r Samuel luke for soe much lent my lord St John uppon acc[oun]t of his reg[imen]t in worster £200 - 0s - 0d,Worcester,,
127,V1152,Vernon,34r,1642-11-04,24 p[ai]d in woster by Arthur Chambres for my lord St Johns Regiment uppon acc[oun]tt to Collonel Essex £1289 - 12s - -d,Worcester,,
128,V1153,Vernon,34r,1642-11-04,more delivered to the said Collonel Tho[mas] Essex in worster uppon acc[oun]t of the said reg[imen]t £90 - 0s - 0d,Worcester,,
129,V1154,Vernon,34r,1642-11-04,40 p[ai]d to the companies of S[i]r John merrick[es] Reg[imen]t in woster by [th]e governer Essex order £750 - 0s - 0d,Worcester,,
130,V1155,Vernon,34r,1642-11-04,47 p[ai]d Capt[ain] Kerle in woster for a mo[nths] pay for himself officers & troop of 56 to begin 19 [Octo]bre £335 - 6s - 0d,Worcester,,
131,V1156,Vernon,34r,1642-11-04,43 p[ai]d Collonel Sand[es] In worster by Arthur Chambers for himself officers troop & wagons uppon acc[oun]tt by the governer of worsters direct[ion] £535 - 10s - 0d,Worcester,,
132,V1160,Vernon,34v,1642-11-04,7 p[ai]d in worster to will[ia]m vinter chaplain to Collonel Tho[mas] Essex 16.4. till [th]e 11 [Novem]bre p[ai]d 31 [Octo]bre £16 - 4s - -d,Worcester,,
133,V1161,Vernon,34v,1642-11-04,13 p[ai]d John Anthony Surgeon to Coll[onel] Sand[es] for hims & two mates to end 28 [Octo]bre. in worster £16 - 16s - -d,Worcester,,
134,V1374,Vernon,38v,1642-11-23,131 p[ai]d leifft[enant] Coll[onel] Holman for a monthes pay advance as leifft[enant] Coll[onel] of a reg[imen]t in [th]e County of yorke £42 - -s - -d,Yorkshire,,
